t_sec,stock1,stock2
486,267.3,121.8
487,267.3,121.8
488,267.3,121.8
489,267.3,121.8
490,267.3,121.8
491,267.3,121.8
492,267.3,121.8
493,267.3,121.8
494,267.3,121.8
495,267.3,121.8
496,267.3,121.8
497,267.3,121.8
498,267.3,121.8
499,267.3,121.8
500,267.3,121.8
501,267.3,121.8
502,267.3,121.8
503,267.3,121.8
504,267.3,121.8
505,267.3,121.8
506,267.3,121.8
507,267.3,121.8
508,267.3,121.8
509,267.3,121.8
510,267.3,121.8
511,270.3,119.8
512,270.3,119.8
513,270.3,119.8
514,257.4,128.4
515,257.4,128.4
516,257.4,128.4
517,257.4,128.4
518,257.4,128.4
519,257.4,128.4
520,257.4,128.4
521,257.4,128.4
522,257.4,128.4
523,257.4,128.4
524,257.4,128.4
525,257.4,128.4
526,257.4,128.4
527,257.4,128.4
528,257.4,128.4
529,257.4,128.4
530,257.4,128.4
531,257.4,128.4
532,257.4,128.4
533,257.4,128.4
534,257.4,128.4
535,257.4,128.4
536,257.4,128.4
537,257.4,128.4
538,257.4,128.4
539,257.4,128.4
540,257.4,128.4
541,257.4,128.4
542,257.4,128.4
543,257.4,128.4
544,257.4,128.4
545,257.4,128.4
546,257.4,128.4
547,257.4,128.4
548,257.4,128.4
549,257.4,128.4
550,257.4,128.4
551,257.4,128.4
552,257.4,128.4
553,261,126
554,261,126
555,261,126
556,261,126
557,261,126
558,261,126
559,261,126
560,261,126
561,261,126
562,261,126
563,261,126
564,261,126
565,261,126
566,261,126
567,261,126
568,261,126
569,261,126
570,261,126
571,261,126
572,261,126
573,261,126
574,261,126
575,261,126
576,261,126
577,261,126
578,261,126
579,261,126
580,261,126
581,261,126
582,261,126
583,261,126
584,261,126
585,261,126
586,261,126
587,261,126
588,261,126
589,261,126
590,261,126
591,261,126
592,261,126
593,258.9,127.4
594,258.9,127.4
595,258.9,127.4
596,258.9,127.4
597,258.9,127.4
598,258.9,127.4
599,258.9,127.4
600,258.9,127.4
601,258.9,127.4
602,258.9,127.4
603,258.9,127.4
604,258.9,127.4
605,258.9,127.4
606,258.9,127.4
607,258.9,127.4
608,258.9,127.4
609,258.9,127.4
610,258.9,127.4
611,258.9,127.4
612,258.9,127.4
613,258.9,127.4
614,258.9,127.4
615,258.9,127.4
616,258.9,127.4
617,258.9,127.4
618,258.9,127.4
619,258.9,127.4
620,258.9,127.4
621,258.9,127.4
622,258.9,127.4
623,258.9,127.4
624,258.9,127.4
625,258.9,127.4
626,258.9,127.4
627,258.9,127.4
628,258.9,127.4
629,258.9,127.4
630,258.9,127.4
631,258.9,127.4
632,258.9,127.4
633,258.9,127.4
634,258.9,127.4
635,258.9,127.4
636,258.9,127.4
637,258.9,127.4
638,258.9,127.4
639,258.9,127.4
640,258.9,127.4
641,258.9,127.4
642,258.9,127.4
643,258.9,127.4
644,258.9,127.4
645,258.9,127.4
646,258.9,127.4
647,258.9,127.4
648,258.9,127.4
649,258.9,127.4
650,258.9,127.4
651,258.9,127.4
652,258.9,127.4
653,258.9,127.4
654,258.9,127.4
655,258.9,127.4
656,269.4,120.4
657,269.4,120.4
658,269.4,120.4
659,269.4,120.4
660,269.4,120.4
661,269.4,120.4
662,269.4,120.4
663,269.4,120.4
664,269.4,120.4
665,269.4,120.4
666,269.4,120.4
667,269.4,120.4
668,269.4,120.4
669,269.4,120.4
670,269.4,120.4
671,269.4,120.4
672,269.4,120.4
673,269.4,120.4
674,269.4,120.4
675,269.4,120.4
676,269.4,120.4
677,269.4,120.4
678,269.4,120.4
679,269.4,120.4
680,269.4,120.4
681,269.4,120.4
682,269.4,120.4
683,269.4,120.4
684,269.4,120.4
685,269.4,120.4
686,269.4,120.4
687,269.4,120.4
688,269.4,120.4
689,269.4,120.4
690,269.4,120.4
691,269.4,120.4
692,269.4,120.4
693,269.4,120.4
694,269.4,120.4
695,269.4,120.4
696,269.4,120.4
697,269.4,120.4
698,269.4,120.4
699,269.4,120.4
700,269.4,120.4
701,269.4,120.4
702,269.4,120.4
703,269.4,120.4
704,269.4,120.4
705,269.4,120.4
706,284.1,110.6
707,284.1,110.6
708,284.1,110.6
709,284.1,110.6
710,284.1,110.6
711,284.1,110.6
712,284.1,110.6
713,284.1,110.6
714,284.1,110.6
715,284.1,110.6
716,284.1,110.6
717,284.1,110.6
718,284.1,110.6
719,284.1,110.6
720,284.1,110.6
721,284.1,110.6
722,284.1,110.6
723,284.1,110.6
724,284.1,110.6
725,284.1,110.6
726,284.1,110.6
727,284.1,110.6
728,284.1,110.6
729,284.1,110.6
730,284.1,110.6
731,284.1,110.6
732,284.1,110.6
733,284.1,110.6
734,284.1,110.6
735,284.1,110.6
736,284.1,110.6
737,284.1,110.6
738,284.1,110.6
739,284.1,110.6
740,284.1,110.6
741,284.1,110.6
742,284.1,110.6
743,284.1,110.6
744,284.1,110.6
745,284.1,110.6
746,284.1,110.6
747,284.1,110.6
748,284.1,110.6
749,284.1,110.6
750,284.1,110.6
751,284.1,110.6
752,284.1,110.6
753,284.1,110.6
754,284.1,110.6
755,284.1,110.6
756,284.1,110.6
757,284.1,110.6
758,284.1,110.6
759,284.1,110.6
760,284.1,110.6
761,284.1,110.6
762,284.1,110.6
763,284.1,110.6
764,284.1,110.6
765,284.1,110.6
766,283.8,110.8
767,283.8,110.8
768,283.8,110.8
769,283.8,110.8
770,283.8,110.8
771,283.8,110.8
772,283.8,110.8
773,283.8,110.8
774,283.8,110.8
775,283.8,110.8
776,283.8,110.8
777,283.8,110.8
778,283.8,110.8
779,283.8,110.8
780,283.8,110.8
781,283.8,110.8
782,283.8,110.8
783,283.8,110.8
784,283.8,110.8
785,283.8,110.8
786,283.8,110.8
787,283.8,110.8
788,283.8,110.8
789,283.8,110.8
790,283.8,110.8
791,283.8,110.8
792,283.8,110.8
793,273.6,117.6
794,273.6,117.6
