t_sec,symbol,bid,bid_size,ask,ask_size
1471.107,S1,330.00,700,500.00,260
1471.308,S1,330.00,700,550.00,1260
1472.289,S1,330.00,700,550.00,1250
1472.795,S1,330.00,700,550.00,250
1472.936,S1,330.00,700,600.00,1250
1473.056,S1,330.00,700,600.00,1240
1477.193,S1,330.00,700,340.00,50
1482.083,S1,330.00,700,340.00,40
1484.294,S1,330.00,700,340.00,30
1485.214,S1,330.00,700,340.00,20
1487.095,S1,330.00,700,600.00,270
1492.100,S1,330.00,700,340.00,50
1495.285,S1,330.00,690,340.00,50
1498.069,S1,330.00,690,500.00,50
1498.789,S1,330.00,690,700.00,750
1499.918,S1,330.00,690,800.00,1450
1500.821,S1,400.00,1000,800.00,1450
1502.157,S1,400.00,1000,700.00,100
1505.794,S1,400.00,1000,690.00,10
1510.316,S1,500.00,1000,690.00,10
1510.378,S1,500.00,1000,650.00,1000
1513.585,S1,500.00,1000,600.00,500
1515.717,S1,500.00,2000,600.00,500
1516.688,S1,500.00,2000,590.00,10
1517.372,S1,500.00,3000,590.00,10
1517.940,S1,500.00,4000,590.00,10
1518.904,S1,510.00,500,590.00,10
1523.579,S1,500.00,5500,590.00,10
1524.267,S1,500.00,6500,590.00,10
1525.195,S1,500.00,7500,590.00,10
1527.199,S1,500.00,6500,590.00,10
1527.494,S1,500.00,6500,550.00,1000
1527.972,S1,500.00,6500,550.00,990
1528.576,S1,500.00,5500,550.00,990
1531.865,S1,500.00,6500,550.00,990
1532.203,S1,500.00,7500,550.00,990
1532.664,S1,500.00,8500,550.00,990
1533.036,S1,500.00,9500,550.00,990
1533.461,S1,500.00,10500,550.00,990
1533.776,S1,500.00,11500,550.00,990
1534.069,S1,500.00,12500,550.00,990
1534.334,S1,500.00,13500,550.00,990
1534.605,S1,500.00,14500,550.00,990
1534.929,S1,500.00,15500,550.00,990
1535.220,S1,500.00,16500,550.00,990
1535.460,S1,500.00,17500,550.00,990
1536.228,S1,500.00,17500,590.00,110
1536.837,S1,500.00,18500,590.00,110
1537.210,S1,500.00,19500,590.00,110
1537.415,S1,500.00,20500,590.00,110
1537.601,S1,500.00,21500,590.00,110
1537.772,S1,500.00,22500,590.00,110
1537.892,S1,515.00,500,590.00,110
1539.467,S1,515.00,250,590.00,110
1541.467,S1,520.00,1000,590.00,110
1544.025,S1,520.00,750,590.00,110
1544.188,S1,520.00,750,580.00,550
1547.337,S1,515.00,250,580.00,550
1553.234,S1,515.00,250,570.00,100
1554.137,S1,515.00,1000,570.00,100
1554.729,S1,515.00,1750,570.00,100
1555.589,S1,515.00,2500,570.00,100
1563.057,S1,515.00,2500,550.00,270
1563.811,S1,520.00,200,550.00,270
1571.457,S1,540.00,1000,550.00,270
1577.831,S1,540.00,1000,550.00,70
1587.182,S1,540.00,1000,570.00,91
1587.667,S1,540.00,1000,580.00,391
1589.909,S1,515.00,2500,580.00,391
1593.514,S1,515.00,2500,600.00,2251
1595.445,S1,515.00,2250,600.00,2251
1600.173,S1,515.00,2250,600.00,1501
1601.882,S1,515.00,1250,600.00,1501
1601.964,S1,520.00,1000,600.00,1501
1603.395,S1,520.00,1000,600.00,751
1605.036,S1,520.00,1000,600.00,1
1605.530,S1,520.00,1000,590.00,1000
1605.661,S1,520.00,1000,590.00,250
1605.863,S1,520.00,1000,700.00,1511
1606.033,S1,520.00,1000,700.00,761
1606.215,S1,520.00,1000,700.00,11
1606.377,S1,520.00,1000,800.00,1236
1610.387,S1,520.00,1000,800.00,486
1610.567,S1,520.00,1000,890.00,736
1610.618,S1,515.00,1250,890.00,736
1610.770,S1,515.00,1250,900.00,3898
1610.942,S1,515.00,1250,900.00,3148
1611.298,S1,515.00,1250,900.00,2398
1611.539,S1,515.00,1250,900.00,1648
1611.781,S1,515.00,1250,900.00,898
1611.952,S1,525.00,1000,900.00,898
1612.350,S1,550.00,1000,900.00,898
1616.345,S1,550.00,1000,900.00,1898
1616.545,S1,550.00,1000,800.00,1000
1616.867,S1,550.00,1000,800.00,1600
1622.090,S1,550.00,999,800.00,1600
1625.211,S1,550.00,999,800.00,1000
1625.544,S1,525.00,999,800.00,1000
1625.979,S1,525.00,999,800.00,2000
1626.355,S1,515.00,1249,800.00,2000
1627.179,S1,515.00,249,800.00,2000
1627.792,S1,500.00,23499,800.00,2000
1630.756,S1,500.00,23499,800.00,1000
1631.241,S1,500.00,22499,800.00,1000
1631.818,S1,500.00,21499,800.00,1000
1632.494,S1,600.00,1000,800.00,1000
1632.505,S1,500.00,21499,800.00,1000
1644.332,S1,600.00,100,800.00,1000
1650.101,S1,500.00,21499,800.00,1000
1655.580,S1,510.00,1000,800.00,1000
1656.115,S1,510.00,1000,700.00,500
1660.748,S1,550.00,100,700.00,500
1667.595,S1,550.00,100,600.00,200
1675.288,S1,550.00,100,700.00,500
