id,t_sec,symbol,price,qty,taker_side,buyer,seller,bid,ask
3589,3114.989,S1,450.00,600,buy,T-025,T-015,110.00,403.00
3590,3115.130,S1,250.00,250,buy,T-025,T-015,110.00,250.00
3591,3115.130,S1,450.00,400,buy,T-025,T-015,110.00,250.00
3592,3115.130,S1,450.00,350,buy,T-025,T-026,110.00,250.00
3593,3115.281,S1,450.00,568,buy,T-025,T-026,110.00,450.00
3594,3115.281,S1,500.00,432,buy,T-025,T-024,110.00,450.00
3595,3115.435,S1,500.00,568,buy,T-025,T-024,110.00,500.00
3596,3115.435,S1,500.00,432,buy,T-025,T-024,110.00,500.00
3597,3115.718,S1,500.00,568,buy,T-025,T-024,110.00,500.00
3598,3115.718,S1,500.00,100,buy,T-025,T-038,110.00,500.00
3599,3115.718,S1,500.00,50,buy,T-025,T-004,110.00,500.00
3600,3115.718,S1,500.00,100,buy,T-025,T-001,110.00,500.00
3601,3115.718,S1,555.00,182,buy,T-025,T-001,110.00,500.00
3602,3116.034,S1,555.00,218,buy,T-025,T-001,110.00,555.00
3603,3116.034,S1,600.00,500,buy,T-025,T-041,110.00,555.00
3604,3116.034,S1,600.00,100,buy,T-025,T-032,110.00,555.00
3605,3116.034,S1,600.00,100,buy,T-025,T-032,110.00,555.00
3606,3116.034,S1,600.00,82,buy,T-025,T-001,110.00,555.00
3607,3116.189,S1,600.00,318,buy,T-025,T-001,110.00,600.00
3608,3116.189,S1,600.00,100,buy,T-025,T-013,110.00,600.00
3609,3116.189,S1,648.00,300,buy,T-025,T-001,110.00,600.00
3610,3116.189,S1,700.00,100,buy,T-025,T-017,110.00,600.00
3611,3116.189,S1,800.00,100,buy,T-025,T-032,110.00,600.00
3612,3116.189,S1,800.00,82,buy,T-025,T-012,110.00,600.00
3613,3116.339,S1,800.00,518,buy,T-025,T-012,110.00,800.00
3614,3116.339,S1,800.00,482,buy,T-025,T-012,110.00,800.00
3615,3116.515,S1,800.00,118,buy,T-025,T-012,110.00,800.00
3616,3116.515,S1,800.00,500,buy,T-025,T-015,110.00,800.00
3617,3116.515,S1,870.00,382,buy,T-025,T-035,110.00,800.00
3618,3117.252,S1,110.00,100,sell,T-005,T-028,110.00,870.00
3619,3117.584,S1,870.00,618,buy,T-025,T-035,110.00,870.00
3620,3117.584,S1,870.00,382,buy,T-025,T-035,110.00,870.00
3621,3118.889,S1,403.00,200,buy,T-025,T-034,110.00,403.00
3622,3118.889,S1,403.00,200,buy,T-025,T-034,110.00,403.00
3623,3118.889,S1,403.00,200,buy,T-025,T-034,110.00,403.00
3624,3118.889,S1,870.00,400,buy,T-025,T-035,110.00,403.00
3625,3119.304,S1,870.00,218,buy,T-025,T-035,110.00,870.00
3626,3119.304,S1,870.00,782,buy,T-025,T-035,110.00,870.00
3627,3120.315,S1,403.00,200,buy,T-025,T-034,110.00,403.00
3628,3120.315,S1,870.00,218,buy,T-025,T-035,110.00,403.00
3629,3120.315,S1,900.00,10,buy,T-025,T-041,110.00,403.00
3630,3120.315,S1,900.00,500,buy,T-025,T-041,110.00,403.00
3631,3120.315,S1,900.00,72,buy,T-025,T-013,110.00,403.00
3632,3120.928,S1,403.00,200,buy,T-025,T-034,150.00,403.00
3633,3120.928,S1,900.00,28,buy,T-025,T-013,150.00,403.00
3634,3120.928,S1,900.00,100,buy,T-025,T-013,150.00,403.00
3635,3120.928,S1,900.00,672,buy,T-025,T-035,150.00,403.00
3636,3121.524,S1,403.00,200,buy,T-025,T-034,150.00,403.00
3637,3121.524,S1,600.00,800,buy,T-025,T-026,150.00,403.00
3638,3121.846,S1,150.00,100,sell,T-010,T-028,150.00,600.00
3639,3123.622,S1,600.00,118,buy,T-025,T-026,150.00,600.00
3640,3123.622,S1,900.00,328,buy,T-025,T-035,150.00,600.00
3641,3123.622,S1,900.00,554,buy,T-025,T-035,150.00,600.00
3642,3123.826,S1,150.00,100,sell,T-010,T-028,150.00,900.00
3643,3124.115,S1,900.00,446,buy,T-025,T-035,110.00,900.00
3644,3124.115,S1,900.00,554,buy,T-025,T-035,110.00,900.00
3645,3126.154,S1,900.00,446,buy,T-025,T-035,110.00,900.00
3646,3126.154,S1,1000.00,300,buy,T-025,T-012,110.00,900.00
3647,3126.154,S1,1000.00,254,buy,T-025,T-012,110.00,900.00
3648,3129.836,S1,1000.00,46,buy,T-001,T-012,110.00,1000.00
3649,3129.836,S1,1000.00,54,buy,T-001,T-013,110.00,1000.00
3650,3132.308,S1,900.00,100,buy,T-001,T-036,200.00,900.00
3651,3133.366,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3652,3133.529,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3653,3135.188,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3654,3135.359,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3655,3135.511,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3656,3135.735,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3657,3135.890,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3658,3136.563,S1,900.00,100,buy,T-001,T-036,200.00,900.00
3659,3136.743,S1,200.00,100,sell,T-027,T-028,200.00,900.00
3660,3139.562,S1,900.00,100,buy,T-001,T-036,300.00,900.00
3661,3140.278,S1,300.00,100,sell,T-011,T-028,300.00,900.00
3662,3144.805,S1,700.00,100,buy,T-025,T-017,300.00,700.00
3663,3144.805,S1,800.00,200,buy,T-025,T-034,300.00,700.00
3664,3144.805,S1,800.00,200,buy,T-025,T-034,300.00,700.00
3665,3144.805,S1,800.00,200,buy,T-025,T-034,300.00,700.00
3666,3144.805,S1,800.00,200,buy,T-025,T-034,300.00,700.00
3667,3144.805,S1,800.00,100,buy,T-025,T-034,300.00,700.00
3668,3145.972,S1,800.00,100,buy,T-025,T-034,500.00,800.00
3669,3145.972,S1,899.00,100,buy,T-025,T-038,500.00,800.00
3670,3145.972,S1,900.00,18,buy,T-025,T-036,500.00,800.00
3671,3145.972,S1,900.00,100,buy,T-025,T-017,500.00,800.00
3672,3145.972,S1,1000.00,682,buy,T-025,T-035,500.00,800.00
3673,3150.182,S1,500.00,500,sell,T-023,T-011,500.00,1000.00
3674,3151.516,S1,500.00,9,sell,T-023,T-028,500.00,1000.00
3675,3152.001,S1,500.00,30,sell,T-023,T-001,500.00,1000.00
3676,3152.504,S1,1000.00,100,buy,T-017,T-035,500.00,1000.00
3677,3152.850,S1,1000.00,100,buy,T-017,T-035,500.00,1000.00
3678,3155.950,S1,800.00,100,buy,T-017,T-034,500.00,800.00
3679,3157.823,S1,800.00,100,buy,T-025,T-034,500.00,800.00
3680,3157.823,S1,800.00,200,buy,T-025,T-034,500.00,800.00
3681,3157.823,S1,800.00,200,buy,T-025,T-034,500.00,800.00
3682,3157.823,S1,800.00,200,buy,T-025,T-034,500.00,800.00
3683,3157.823,S1,800.00,200,buy,T-025,T-034,500.00,800.00
3684,3157.823,S1,800.00,100,buy,T-025,T-034,500.00,800.00
3685,3157.922,S1,500.00,461,sell,T-023,T-011,500.00,800.00
3686,3157.922,S1,500.00,39,sell,T-023,T-011,500.00,800.00
3687,3158.363,S1,500.00,500,sell,T-023,T-011,500.00,800.00
3688,3158.505,S1,800.00,100,buy,T-025,T-034,500.00,800.00
3689,3158.505,S1,800.00,200,buy,T-025,T-034,500.00,800.00
3690,3158.505,S1,800.00,200,buy,T-025,T-034,500.00,800.00
3691,3158.505,S1,1000.00,118,buy,T-025,T-035,500.00,800.00
3692,3158.505,S1,1000.00,382,buy,T-025,T-035,500.00,800.00
3693,3158.976,S1,500.00,461,sell,T-023,T-011,500.00,1000.00
3694,3158.976,S1,500.00,39,sell,T-023,T-011,500.00,1000.00
3695,3170.449,S1,510.00,120,sell,T-007,T-014,510.00,1000.00
